Mar. 10, 2019   12:09:40
Cyclic Voltammetry
File: 
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.2
High E (V) = 0.2
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
2nd E (V) = 0.6
Sens 2 (A/V) = 1e-4
Comp R (ohm) = 20.0

Segment 1:
Ep = -0.141V
ip = -1.036e-3A
Ah = -6.457e-3C

Segment 2:

Segment 3:
Ep = -0.134V
ip = -1.014e-3A
Ah = -5.793e-3C

Segment 4:

Segment 5:
Ep = -0.145V
ip = -1.007e-3A
Ah = -6.891e-3C

Ep = -0.665V
ip = -2.306e-5A
Ah = -1.842e-5C

Segment 6:

Segment 7:
Ep = -0.140V
ip = -1.012e-3A
Ah = -6.416e-3C

Ep = -0.380V
ip = -1.708e-5A
Ah = -1.052e-5C

Current 2:

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Segment 7:

Potential/V, i1/A, i2/A
-0.189, -1.191e-3, 1.636e-5
-0.190, -1.191e-3, 1.625e-5
-0.191, -1.193e-3, 1.636e-5
-0.192, -1.192e-3, 1.623e-5
-0.193, -1.196e-3, 1.634e-5
-0.194, -1.194e-3, 1.621e-5
-0.195, -1.197e-3, 1.632e-5
-0.196, -1.196e-3, 1.620e-5
-0.197, -1.196e-3, 1.630e-5
-0.198, -1.196e-3, 1.619e-5
-0.199, -1.195e-3, 1.629e-5
-0.200, -1.194e-3, 1.620e-5
-0.201, -1.195e-3, 1.633e-5
-0.202, -1.190e-3, 1.623e-5
-0.203, -1.189e-3, 1.638e-5
-0.204, -1.187e-3, 1.632e-5
-0.205, -1.190e-3, 1.647e-5
-0.206, -1.188e-3, 1.641e-5
-0.207, -1.188e-3, 1.655e-5
-0.208, -1.189e-3, 1.649e-5
-0.209, -1.192e-3, 1.661e-5
-0.210, -1.193e-3, 1.654e-5
-0.211, -1.196e-3, 1.664e-5
-0.212, -1.194e-3, 1.657e-5
-0.213, -1.193e-3, 1.667e-5
-0.214, -1.191e-3, 1.660e-5
-0.215, -1.193e-3, 1.672e-5
-0.216, -1.193e-3, 1.665e-5
-0.217, -1.194e-3, 1.674e-5
-0.218, -1.195e-3, 1.669e-5
-0.219, -1.196e-3, 1.677e-5
-0.220, -1.198e-3, 1.672e-5
-0.221, -1.199e-3, 1.676e-5
-0.222, -1.200e-3, 1.669e-5
-0.223, -1.204e-3, 1.676e-5
-0.224, -1.204e-3, 1.669e-5
-0.225, -1.205e-3, 1.674e-5
-0.226, -1.204e-3, 1.668e-5
-0.227, -1.203e-3, 1.671e-5
-0.228, -1.204e-3, 1.666e-5
-0.229, -1.199e-3, 1.669e-5
-0.230, -1.197e-3, 1.668e-5
-0.231, -1.199e-3, 1.675e-5
-0.232, -1.202e-3, 1.672e-5
-0.233, -1.204e-3, 1.675e-5
-0.234, -1.208e-3, 1.672e-5
-0.235, -1.205e-3, 1.673e-5
-0.236, -1.206e-3, 1.669e-5
-0.237, -1.203e-3, 1.672e-5
-0.238, -1.210e-3, 1.672e-5
-0.239, -1.211e-3, 1.674e-5
-0.240, -1.211e-3, 1.670e-5
-0.241, -1.205e-3, 1.670e-5
-0.242, -1.207e-3, 1.670e-5
-0.243, -1.205e-3, 1.670e-5
-0.244, -1.211e-3, 1.669e-5
-0.245, -1.208e-3, 1.669e-5
-0.246, -1.212e-3, 1.670e-5
-0.247, -1.209e-3, 1.669e-5
-0.248, -1.213e-3, 1.670e-5
-0.249, -1.210e-3, 1.669e-5
-0.250, -1.212e-3, 1.672e-5
-0.251, -1.207e-3, 1.668e-5
-0.252, -1.210e-3, 1.674e-5
-0.253, -1.208e-3, 1.673e-5
-0.254, -1.213e-3, 1.678e-5
-0.255, -1.208e-3, 1.675e-5
-0.256, -1.210e-3, 1.681e-5
-0.257, -1.206e-3, 1.679e-5
-0.258, -1.211e-3, 1.687e-5
-0.259, -1.207e-3, 1.684e-5
-0.260, -1.211e-3, 1.693e-5
-0.261, -1.210e-3, 1.690e-5
-0.262, -1.216e-3, 1.696e-5
